super_catalog_id,vendor_id,original_min,original_max,new_min,new_max,original_diff,new_diff
7501390913855,1156,992.9601,975.1,965.349,992.9601,17.86009999999999,27.611099999999965
7506400900474,1156,510.5727,481.99,477.1701,510.5727,28.58269999999999,33.40260000000001
8436024611199,1156,324.0963,311.78,308.6622,324.0963,12.316300000000012,15.4341
7501390913930,1156,752.5980000000001,737.8,730.4219999999999,752.5980000000001,14.798000000000116,22.17600000000016
7503007822680,1156,44.045100000000005,43.2,42.768,44.045100000000005,0.8451000000000022,1.2771000000000043
7503007822383,1156,535.4217,525.08,519.8292,535.4217,10.341699999999946,15.592499999999973
4260095687852,1156,1565.1702,1512.9,1497.7710000000002,1565.1702,52.27019999999993,67.39919999999984
7503007822710,1156,4265.1378,4141.16,4099.7483999999995,4265.1378,123.97780000000057,165.38940000000093
7501088505492,1156,285.1299,261.82,259.2018,285.1299,23.309900000000027,25.92810000000003
7703332003628,1156,473.2596,464.44,459.7956,473.2596,8.81959999999998,13.463999999999999
7503007822888,1156,2808.6696,2754.41,2726.8659,2808.6696,54.25960000000032,81.80370000000039
7501006811117,1156,22.4631,20.63,20.4237,22.4631,1.8331000000000017,2.0394000000000005
7503001234830,1156,35.590500000000006,31.63,31.313699999999997,35.590500000000006,3.960500000000007,4.276800000000009
7501006811124,1156,21.1464,20.63,20.4237,21.1464,0.5164000000000009,0.7226999999999997
7503001234854,1156,33.2838,30.29,29.987099999999998,33.2838,2.9938000000000002,3.2967000000000013
7506246000109,1156,16.503300000000003,16.49,16.3251,16.503300000000003,0.01330000000000453,0.1782000000000039
7730979097772,1156,722.2743,698.82,691.8318,722.2743,23.45429999999999,30.442499999999995
13117016314,1156,105.3657,91.29,90.3771,105.3657,14.075699999999998,14.988600000000005
7501006870992,1156,86.4567,75.79,75.0321,86.4567,10.666699999999992,11.424599999999998
7501385495663,1156,441.6192,416.64,412.4736,441.6192,24.97919999999999,29.1456
7501385495670,1156,792.6336,762.24,754.6176,792.6336,30.393599999999992,38.01599999999996
7501842800412,1156,26.6013,25.99,25.730099999999997,26.6013,0.6113,0.8712000000000018
7501842800443,1156,10.6326,7.16,7.0884,10.6326,3.4726,3.5442
7501842800436,1156,14.9688,10.68,10.5732,14.9688,4.2888,4.3956
7501842800429,1156,20.3445,14.38,14.2362,20.3445,5.964499999999999,6.1083
7501048335305,1156,14.1174,12.95,12.8205,14.1174,1.1674000000000007,1.2969000000000008
7501006830057,1156,32.373000000000005,27.52,27.244799999999998,32.373000000000005,4.853000000000005,5.128200000000007
7502214980619,1156,59.8851,59.26,58.6674,59.8851,0.6251000000000033,1.2177000000000007
7501070613006,1156,153.3906,147.01,145.5399,153.3906,6.380600000000015,7.8507000000000176
7501165007772,1156,1564.0416,1527.76,1512.4823999999999,1564.0416,36.281600000000026,51.559200000000146
7501701400562,1156,887.5053,836.23,827.8677,887.5053,51.275300000000016,59.63760000000002
7501701408759,1156,1491.8805,1419.52,1405.3247999999999,1491.8805,72.3605,86.55570000000012
7501701408735,1156,1423.5309,1309.2,1296.108,1423.5309,114.33089999999993,127.42290000000003
7501701408766,1156,1044.7866,960.87,951.2613,1044.7866,83.9165999999999,93.5252999999999
7501287613059,1156,3831.201,3731.12,3693.8088,3831.201,100.08100000000013,137.39220000000023
7501008496725,1156,146.52,145.0,143.55,146.52,1.5200000000000102,2.969999999999999
7501361693021,1156,2117.115,1988.46,1968.5754,2117.115,128.65499999999975,148.53959999999984
7501361693045,1156,3185.028,3104.07,3073.0293,3185.028,80.95799999999963,111.99869999999964
7501258215558,1156,567.0126,565.05,559.3995,567.0126,1.9626000000000658,7.613100000000031
7501061001003,1156,289.1988,275.37,272.6163,289.1988,13.828800000000001,16.582499999999982
7501165006362,1156,957.033,934.84,925.4916000000001,957.033,22.192999999999984,31.541399999999953
7501027512581,1156,12.3057,12.2,12.078,12.3057,0.10570000000000057,0.22770000000000046
7501027513977,1156,21.6909,21.28,21.0672,21.6909,0.41089999999999804,0.6236999999999995
7501027519115,1156,32.8482,32.22,31.8978,32.8482,0.6281999999999996,0.9503999999999984
7501027511058,1156,30.5613,30.28,29.9772,30.5613,0.2812999999999981,0.5840999999999994
7501027512758,1156,14.9688,14.84,14.6916,14.9688,0.12880000000000003,0.27720000000000056
7502297890331,1156,88.11,58.63,58.0437,88.11,29.479999999999997,30.0663
7501027573773,1156,12.3354,12.1,11.979,12.3354,0.23540000000000028,0.3564000000000007
7501400800069,1156,22.3938,22.18,21.958199999999998,22.3938,0.2137999999999991,0.4356000000000009
7506246000376,1156,7.3953,7.39,7.3161,7.3953,0.005300000000000082,0.07920000000000016
7501070648756,1156,350.8758,324.72,321.4728,350.8758,26.1558,29.40300000000002
7501070617981,1156,187.8525,180.4,178.596,187.8525,7.452499999999986,9.256499999999988
7501070617998,1156,301.653,289.85,286.9515,301.653,11.802999999999997,14.70150000000001
7501070617967,1156,398.574,383.35,379.5165,398.574,15.22399999999999,19.057500000000005
7501463304061,1156,29.7594,29.31,29.0169,29.7594,0.4494000000000007,0.7424999999999997
7506475108676,1156,43.3719,40.62,40.2138,43.3719,2.751899999999999,3.1580999999999975
7501125112393,1156,308.05830000000003,307.12,304.0488,308.05830000000003,0.9383000000000266,4.009500000000003
7501258210348,1156,995.7816,950.54,941.0346,995.7816,45.24160000000006,54.74700000000007
7501094911089,1156,241.2828,234.51,232.1649,241.2828,6.772800000000018,9.11790000000002
7501070699703,1156,825.2442,786.06,778.1994,825.2442,39.18420000000003,47.04480000000001
7509546031828,1156,22.8789,20.06,19.859399999999997,22.8789,2.818900000000003,3.0195000000000043
7509546074320,1156,33.8679,30.97,30.6603,33.8679,2.8979,3.2075999999999993
3499320013925,1156,197.2872,192.08,190.1592,197.2872,5.2072,7.128000000000014
7506246000758,1156,22.077,22.05,21.8295,22.077,0.027000000000001023,0.24750000000000227
7501314701834,1156,326.5416,317.4,314.226,326.5416,9.14160000000004,12.315600000000018
7730979093026,1156,610.9884,598.24,592.2576,610.9884,12.748399999999947,18.73079999999993
7501070612993,1156,676.5659999999999,644.54,638.0946,676.5659999999999,32.025999999999954,38.4713999999999
7501070612832,1156,390.0204,371.18,367.4682,390.0204,18.84039999999999,22.55219999999997
7501070612894,1156,600.2865,571.51,565.7949,600.2865,28.776500000000055,34.49160000000006
7501072350299,1156,2085.1578,2064.9,2044.251,2085.1578,20.25779999999986,40.906799999999976
