,super_catalog_id,vendor_id,max_price,precio_minimo_orders,min_price
43027,7503014377845,1152,33.55794678939,34.4,34.056
43028,7501130713868,1152,41.62160590577,44.551,44.10549
43029,7501130713547,1152,38.21752509099,33.49,33.155100000000004
43030,7501130742134,1152,76.89405341766,78.74,77.95259999999999
43031,7501130709830,1152,45.79349326946,51.15,50.6385
43032,7501130709847,1152,47.414976290789994,75.18,74.4282
43033,7501130713851,1152,39.863156009819996,43.598,43.16202
43034,7501130711642,1152,49.39578002692,49.454,48.95946
43035,7503002047811,1152,16.489150328900003,17.56,17.3844
43036,7502227425435,1152,79.53554362939,78.38,77.5962
43037,780083148966,1152,14.773200732549999,13.45,13.315499999999998
43038,7502227425039,1152,18.65965994779,16.18,16.0182
43039,7503008344785,1152,14.03456484382,12.92,12.790799999999999
43040,7503027446279,1152,21.05744957795,19.21,19.0179
43041,7502213040833,1152,153.89126665344,153.53,151.9947
43042,7502001161368,1152,47.728802366699995,46.63,46.1637
43043,7502001160415,1152,14.773200732549999,14.73,14.5827
43044,7502001161351,1152,35.22840174685,34.65,34.3035
43045,7502001162136,1152,13.6368006762,13.78,13.642199999999999
43046,650240031427,1152,50.47886152559,48.5,48.015
43047,7501349026377,1152,10.92373609628,10.08,9.9792
43048,7501349026094,1152,44.31960219765,41.62,41.203799999999994
43049,7501349025387,1152,7.09136817144,6.55,6.4845
43050,75003487,1152,13.557251527,13.87,13.7313
43051,75003401,1152,13.557251527,13.87,13.7313
43052,780083141738,1152,27.2736013524,25.44,25.1856
43053,780083149178,1152,38.6376019159,40.288,39.88511999999999
43054,780083149185,1152,45.456002254000005,44.32,43.8768
43055,780083141875,1152,27.17913477738,26.79,26.5221
43056,780083140663,1152,19.88704928192,18.93,18.7407
43057,780083141882,1152,32.499496146169996,31.41,31.0959
43058,759684432101,1152,11.66971294585,10.88,10.7712
43059,7501089802200,1152,106.1705,81.02,80.2098
43060,7502009745034,1152,13.9777689889,13.05,12.919500000000001
43061,7502216808102,1152,429.28306594449003,524.23,518.9877
43064,7501075717013,1152,17.59145355398,17.79,17.612099999999998
43065,7501075717020,1152,16.56874179906,15.35,15.1965
43066,7501590281778,1152,49.407371017719996,44.91,44.460899999999995
43067,650240030536,1152,104.78246024041,107.42,106.3458
43068,650240055867,1152,77.39903425018001,88.74,87.8526
43069,7502259892304,1152,75.86110295419999,53.92,53.3808
43070,7502001164864,1152,30.11464978907,29.26,28.9674
43071,780083139889,1152,19.30740315033,18.09,17.9091
43072,785118754228,1152,49.853913938290006,45.06,44.6094
43073,7501349029408,1152,30.86458689383,26.02,25.7598
43074,7501349011243,1152,37.56012272945,34.44,34.0956
43075,7503008344631,1152,44.40344369777,45.515,45.05985
43077,7501573902652,1152,5.3183329454,5.36,5.3064
43078,7501573902614,1152,13.580004821280001,10.22,10.1178
43079,7502001163058,1152,18.75567198825,19.45,19.255499999999998
43080,7501573904687,1152,17.04600084525,12.54,12.414599999999998
43081,7502227425008,1152,25.07913701919,21.74,21.522599999999997
43082,7501128110044,1152,144.60668983946,264.84,262.1916
43083,7501128110051,1152,144.60668983946,151.81,150.2919
43084,7502224243384,1152,83.01110222077,86.73,85.8627
43085,7502223112193,1152,37.421610389390004,35.63,35.273700000000005
43086,7502223112186,1152,30.84188787018,25.92,25.660800000000002
43087,7502259890089,1152,30.16082056909,20.86,20.6514
43088,7501390910953,1152,290.14297714108,272.41,269.6859
43089,7501385410055,1152,361.68208940073004,329.67,326.37330000000003
43090,7501385420238,1152,372.86420800026,345.48,342.02520000000004
43096,8400009265,1152,86.50279160768,85.29,84.4371
43097,7502216804845,1152,9.659448774769999,9.005,8.914950000000001
43098,821998000298,1152,8.52304871842,7.78,7.7022
43099,7502216794993,1152,9.46568604523,7.94,7.860600000000001
43100,656599040608,1152,12.4777015962,35.75,35.3925
43101,7501109763078,1152,40.72059955425,42.158,41.73642
43102,7502004402017,1152,28.22821603637,28.35,28.0665
43103,7503003134664,1152,14.852792202709999,14.51,14.3649
43104,785120754681,1152,27.79635503748,24.3,24.057000000000002
43105,7501349020412,1152,57.91090823496,54.39,53.8461
43106,70942302401,1152,45.642906980650004,53.02,52.4898
43107,7502009747458,1152,397.7400197225,372.41,368.6859
43108,7501349024045,1152,27.69222930346,25.53,25.2747
43109,7502226293271,1152,17.54605550668,14.04,13.8996
43110,7502216803626,1152,11.364000563500001,11.76,11.6424
43111,7502225094275,1152,36.410296442089994,30.36,30.0564
43112,7502247376885,1152,84.85503567387,88.6,87.714
43113,7501573900122,1152,39.37623780463,37.66,37.28339999999999
43114,7501349028654,1152,22.955279875,19.98,19.7802
43115,8400005830,1152,31.35324374764,31.36,31.0464
43116,7503003406983,1152,44.437830303809996,43.04,42.6096
43117,7503003406402,1152,8.81407917909,8.47,8.3853
43118,7502223112346,1152,16.43235447398,16.57,16.4043
43119,7502223112438,1152,45.475610346770004,49.4,48.906
43120,7501165010727,1152,119.89112356503,120.93,119.72070000000001
43121,7501165010680,1152,98.73041757736999,97.62,96.6438
43122,7501328979496,1152,109.44667493833,100.63,99.6237
43123,7502216790339,1152,11.932248887470001,9.6,9.504
43124,7506335701207,1152,62.479317456000004,53.34,52.8066
43125,7502299970437,1152,114.48035246799999,112.03,110.9097
43126,7501075718201,1152,107.61713363214,112.61,111.48389999999999
43127,7501075718218,1152,107.61713363214,4.47,4.4253
43128,7501075718195,1152,107.61713363214,107.61,106.5339
43129,7501109763382,1152,11.159419575880001,15.94,15.7806
43130,7501478316813,1152,24.89928347861,23.26,23.0274
43132,7502009745478,1152,57.95640287385,54.03,53.4897
43133,7502009740558,1152,47.728802366699995,44.6,44.154
43134,7501537194130,1152,15.796009079060001,12.43,12.3057
43135,785120754797,1152,59.092802930199994,49.56,49.0644
43136,7501547509016,1152,54.5472027048,50.19,49.6881
43137,7501547509023,1152,54.91087004115,50.69,50.183099999999996
43138,7501563380286,1152,18.40968091287,19.059,18.86841
43139,7502216790124,1152,28.68934428703,70.4,69.696
43140,7501825301653,1152,48.956095109239996,71.8,71.082
43141,7500462933746,1152,15.814941030700002,15.3,15.147
43142,7501349029330,1152,72.83189410021,55.56,55.004400000000004
43143,3582186006900,1152,256.894544226,252.24,249.7176
43144,656599040134,1152,42.50136210749,48.96,48.4704
43145,7501349022454,1152,41.36496205114,38.62,38.233799999999995
43146,7502216804692,1152,36.04662910574,52.97,52.4403
43147,7502216799325,1152,33.60334483669,34.8,34.452
43148,7502216804708,1152,104.50331054531,104.99,103.9401
43149,7502216799318,1152,104.5488051842,96.93,95.9607
43150,7501349022492,1152,77.46249492480999,72.89,72.1611
