point_of_sale_id,super_catalog_id,unidades_pedidas,precio_minimo,geo_zone,vendor_id,name,base_price,percentage,precio_vendedor,precio_total_vendedor,status,valor_total_vendedor
1575,7501314704934,3.0,472.97,Aguascalientes,1156,México,469.2,0.0,469.2,1407.6,2.0,1407.6
1575,7501871720644,2.0,476.32,Aguascalientes,1159,México,453.908,0.0,453.908,907.816,1.0,907.816
1575,7502209710108,3.0,252.54,Aguascalientes,1159,México,245.63,0.0,245.63,736.89,1.0,736.89
1575,7501349025158,2.0,263.08,Aguascalientes,1152,México,263.0654,0.0,263.0654,526.1308,,526.1308
1575,7501070615048,1.0,479.82,Aguascalientes,1156,México,452.1,0.0,452.1,452.1,2.0,452.1
1575,3664798044959,2.0,226.35,Aguascalientes,1159,México,223.4972,0.0,223.4972,446.9944,1.0,446.9944
1575,7501070903572,1.0,451.42,Aguascalientes,1159,México,446.6,0.0,446.6,446.6,1.0,446.6
1575,7501314704712,1.0,445.15,Aguascalientes,1156,México,441.6,0.0,441.6,441.6,2.0,441.6
1575,7501314701773,1.0,455.83,Aguascalientes,1156,México,438.64,0.0,438.64,438.64,2.0,438.64
1575,8400003218,1.0,426.47,Aguascalientes,1159,México,349.3456,0.0,349.3456,349.3456,1.0,349.3456
1575,7501314703647,1.0,347.77,Aguascalientes,1156,México,345.0,0.0,345.0,345.0,2.0,345.0
1575,5702191029208,1.0,330.05,Aguascalientes,1156,México,321.42,0.0,321.42,321.42,2.0,321.42
1575,7502216795129,1.0,334.57,Aguascalientes,1152,México,299.5604,0.0,299.5604,299.5604,,299.5604
1575,7503007704597,1.0,285.89,Aguascalientes,1156,México,281.7,0.0,281.7,281.7,2.0,281.7
1575,7501070903800,1.0,429.79,Aguascalientes,1153,México,260.0,0.0,260.0,260.0,,260.0
1575,8400005694,2.0,202.56,Aguascalientes,1159,México,107.7872,0.0,107.7872,215.5744,1.0,215.5744
1575,7501299304051,1.0,193.22,Aguascalientes,1159,México,190.124,0.0,190.124,190.124,1.0,190.124
1575,7501095452208,1.0,151.65,Aguascalientes,1164,México,143.0,0.0,143.0,143.0,,143.0
1575,7502003388510,3.0,36.68,Aguascalientes,1152,México,36.6715,0.0,36.6715,110.0145,,110.0145
1575,7501058715920,2.0,40.19,Aguascalientes,1156,México,39.77,0.0,39.77,79.54,2.0,79.54
1575,650240009563,2.0,32.25,Aguascalientes,1152,México,32.2453,0.0,32.2453,64.4906,,64.4906
1575,8902220115866,2.0,31.78,Aguascalientes,1152,México,31.7655,0.0,31.7655,63.531,,63.531
1575,7502009743832,2.0,29.65,Aguascalientes,1152,México,29.6454,0.0,29.6454,59.2908,,59.2908
1575,7502003388107,2.0,29.6,Aguascalientes,1152,México,29.589,0.0,29.589,59.178,,59.178
1575,7501027272706,3.0,19.05,Aguascalientes,1152,México,18.5218,0.0,18.5218,55.5654,,55.5654
1575,7501027286024,3.0,19.05,Aguascalientes,1152,México,18.4934,0.0,18.4934,55.4802,,55.4802
1575,7502004403502,1.0,54.01,Aguascalientes,1152,México,54.0014,0.0,54.0014,54.0014,,54.0014
1446,7502213141356,1.0,2308.07,Baja California,1275,México,1959.5802,0.0,1959.5802,1959.5802,,1959.5802
1446,7503007822871,1.0,1193.76,Baja California,1156,México,1147.47,0.0,1147.47,1147.47,,1147.47
1446,7501122960317,1.0,522.49,Baja California,1159,México,336.2028,0.0,336.2028,336.2028,,336.2028
1446,7501328979366,1.0,214.43,Baja California,1156,México,209.04,0.0,209.04,209.04,,209.04
1446,7501088505485,1.0,191.2,Baja California,1150,México,188.5884,0.0,188.5884,188.5884,,188.5884
1446,7501048613700,1.0,251.11,Baja California,1150,México,183.183,0.0,183.183,183.183,,183.183
1446,7502216808188,2.0,12.64,Baja California,1150,México,6.572,0.0,6.572,13.144,,13.144
1101,7501098610025,16.0,1490.94,Baja California Sur,1159,México,1258.542,0.0,1258.542,20136.672,,20136.672
1101,7501298222424,14.0,849.46,Baja California Sur,1156,México,827.67,0.0,827.67,11587.38,,11587.38
1101,7501070615277,26.0,563.64,Baja California Sur,1153,México,380.0,0.0,380.0,9880.0,,9880.0
1101,7501298204987,18.0,677.316,Baja California Sur,1153,México,400.0,0.0,400.0,7200.0,,7200.0
1101,7501070903695,11.0,640.0,Baja California Sur,1164,México,615.0,0.0,615.0,6765.0,,6765.0
1101,7501061002307,7.0,961.87,Baja California Sur,1156,México,934.84,0.0,934.84,6543.88,,6543.88
1101,7501328979601,3.0,2183.23,Baja California Sur,1156,México,2106.22,0.0,2106.22,6318.66,,6318.66
1101,7501033923234,13.0,542.72,Baja California Sur,1153,México,390.0,0.0,390.0,5070.0,,5070.0
1101,7501094910570,38.0,144.28,Baja California Sur,1164,México,131.0,0.0,131.0,4978.0,,4978.0
1101,7501165001695,10.0,500.79,Baja California Sur,1159,México,457.62,0.0,457.62,4576.2,,4576.2
1101,7501287612779,4.0,1321.6,Baja California Sur,1159,México,1051.6444,0.0,1051.6444,4206.5776,,4206.5776
1101,7501298205021,9.0,602.12,Baja California Sur,1159,México,465.0324,0.0,465.0324,4185.2916,,4185.2916
1097,7501037907681,1.0,4148.09,Baja California Sur,1156,México,4076.98,0.0,4076.98,4076.98,,4076.98
1101,7501299330173,7.0,707.37,Baja California Sur,1164,México,499.0,0.0,499.0,3493.0,,3493.0
1101,7501061002109,8.0,449.66,Baja California Sur,1156,México,433.85,0.0,433.85,3470.8,,3470.8
1101,7502241941928,4.0,1432.99,Baja California Sur,1164,México,799.0,0.0,799.0,3196.0,,3196.0
1101,7503007822901,1.0,3304.49,Baja California Sur,1153,México,2899.0,0.0,2899.0,2899.0,,2899.0
1101,7501165001770,3.0,925.93,Baja California Sur,1156,México,897.65,0.0,897.65,2692.95,,2692.95
1101,7501299306130,29.0,97.69,Baja California Sur,1164,México,92.5,0.0,92.5,2682.5,,2682.5
1101,7501299330319,4.0,794.91,Baja California Sur,1164,México,660.0,0.0,660.0,2640.0,,2640.0
1097,7501070612849,7.0,386.03,Baja California Sur,1156,México,371.18,0.0,371.18,2598.26,,2598.26
1101,7501299330012,7.0,433.11,Baja California Sur,1164,México,370.0,0.0,370.0,2590.0,,2590.0
1101,7501298222509,3.0,999.0,Baja California Sur,1159,México,779.2648,0.0,779.2648,2337.7944,,2337.7944
1101,7501123014101,10.0,220.806,Baja California Sur,1152,México,220.8055,0.0,220.8055,2208.055,1.0,2208.055
1097,7501037901047,2.0,1131.64,Baja California Sur,1156,México,1088.21,0.0,1088.21,2176.42,,2176.42
1101,7501098604529,3.0,775.0,Baja California Sur,1164,México,699.0,0.0,699.0,2097.0,,2097.0
1097,7501061019008,5.0,421.79,Baja California Sur,1156,México,418.35,0.0,418.35,2091.75,,2091.75
1101,5391189310673,3.0,756.64,Baja California Sur,1152,México,646.8,0.0,646.8,1940.3999999999999,1.0,1940.3999999999999
1101,7501871730155,1.0,1876.74,Baja California Sur,1156,México,1819.63,0.0,1819.63,1819.63,,1819.63
1101,7501328979229,3.0,1358.53,Baja California Sur,1153,México,600.0,0.0,600.0,1800.0,,1800.0
1101,7501033957871,3.0,916.77,Baja California Sur,1153,México,540.0,0.0,540.0,1620.0,,1620.0
1101,891671002277,3.0,534.6,Baja California Sur,1159,México,507.384,0.0,507.384,1522.152,,1522.152
1101,7501326004947,2.0,842.5,Baja California Sur,1164,México,760.0,0.0,760.0,1520.0,,1520.0
1101,7501092722113,2.0,806.57,Baja California Sur,1159,México,742.41,0.0,742.41,1484.82,,1484.82
1101,7501299306765,8.0,298.66,Baja California Sur,1153,México,180.0,0.0,180.0,1440.0,,1440.0
1097,7501108767923,1.0,1795.56,Baja California Sur,1159,México,1362.246,0.0,1362.246,1362.246,,1362.246
1101,7501098610063,2.0,726.15,Baja California Sur,1159,México,644.38,0.0,644.38,1288.76,,1288.76
1097,7501326008396,1.0,1474.47,Baja California Sur,1159,México,1287.9132,0.0,1287.9132,1287.9132,,1287.9132
1101,7501326001144,2.0,850.08,Baja California Sur,1152,México,590.35,0.0,590.35,1180.7,1.0,1180.7
1101,7501328979144,2.0,1394.77,Baja California Sur,1153,México,569.0,0.0,569.0,1138.0,,1138.0
1101,7501298234601,4.0,339.3,Baja California Sur,1164,México,283.45,0.0,283.45,1133.8,,1133.8
1101,7501298219608,14.0,186.32,Baja California Sur,1153,México,75.0,0.0,75.0,1050.0,,1050.0
1097,7501300450333,2.0,613.06,Baja California Sur,1152,México,514.28,0.0,514.28,1028.56,1.0,1028.56
1101,7501165007338,2.0,2039.91,Baja California Sur,1153,México,500.0,0.0,500.0,1000.0,,1000.0
1097,7501064550652,3.0,287.6,Baja California Sur,1152,México,286.7,0.0,286.7,860.0999999999999,1.0,860.0999999999999
1097,7501300420640,1.0,892.14,Baja California Sur,1152,México,643.95,0.0,643.95,643.95,1.0,643.95
1098,8027950210466,1.0,700.04,Baja California Sur,1152,México,579.4737,0.0,579.4737,579.4737,1.0,579.4737
1098,7501300450012,2.0,325.75,Baja California Sur,1152,México,267.28,0.0,267.28,534.56,1.0,534.56
1101,7501300409034,1.0,613.71,Baja California Sur,1152,México,511.68,0.0,511.68,511.68,1.0,511.68
1101,7501298214429,1.0,517.34,Baja California Sur,1152,México,421.65,0.0,421.65,421.65,1.0,421.65
1101,7502001162976,1.0,31.54,Baja California Sur,1150,México,20.7323,0.0,20.7323,20.7323,,20.7323
1265,7502208891891,540.0,29.11,CDMX,1152,México,24.0124,0.0,24.0124,12966.696,1.0,12966.696
1182,7501124103248,49.0,304.44,CDMX,1164,México,255.0,0.0,255.0,12495.0,1.0,12495.0
1265,7501825305200,280.0,49.393,CDMX,1152,México,39.7892,0.0,39.7892,11140.976,1.0,11140.976
1183,7501299310175,20.0,546.63,CDMX,1159,México,540.6876,0.0,540.6876,10813.752,1.0,10813.752
1265,7501123001767,150.0,48.18,CDMX,1152,México,46.507,0.0,46.507,6976.049999999999,1.0,6976.049999999999
1114,7501165010826,20.0,412.55,CDMX,1152,México,339.2908,0.0,339.2908,6785.816,1.0,6785.816
1183,7501088507786,3.0,2023.68,CDMX,1159,México,1907.3184,0.0,1907.3184,5721.9552,1.0,5721.9552
1311,7501298216331,5.0,1308.23,CDMX,1159,México,1047.48,0.0,1047.48,5237.4,,5237.4
1183,7501094915223,5.0,1124.93,CDMX,1159,México,903.4312,0.0,903.4312,4517.156,1.0,4517.156
1311,7501871720590,4.0,1212.41,CDMX,1159,México,1124.8056,0.0,1124.8056,4499.2224,,4499.2224
1182,7501109929351,3.0,1608.31,CDMX,1159,México,1442.2396,0.0,1442.2396,4326.718800000001,1.0,4326.718800000001
1265,7502223112346,224.0,26.78,CDMX,1152,México,18.7064,0.0,18.7064,4190.2336,1.0,4190.2336
1265,7501384541163,240.0,17.79,CDMX,1152,México,16.471,0.0,16.471,3953.04,1.0,3953.04
1114,7501324403711,1.0,4085.04,CDMX,1275,México,3842.2609,0.0,3842.2609,3842.2609,,3842.2609
1182,7501300421555,26.0,136.88,CDMX,1159,México,136.1085,0.0,136.1085,3538.821,1.0,3538.821
1311,7501314701650,5.0,688.59,CDMX,1156,México,683.1,0.0,683.1,3415.5,,3415.5
1265,7502226291475,100.0,33.86,CDMX,1152,México,33.8597,0.0,33.8597,3385.97,1.0,3385.97
1265,7502216796348,126.0,77.55,CDMX,1152,México,26.4477,0.0,26.4477,3332.4102000000003,1.0,3332.4102000000003
