super_catalog_id,vendor_id,max_price,precio_minimo_orders,min_price
7501287621009,1141,1079.0,617.66,611.4834
7501043100410,1141,179.0,149.04,147.5496
7501070613549,1141,153.0,115.0,113.85
7501165007819,1141,1393.0,500.0,495.0
7501122961017,1141,166.314,107.8,106.722
7501064550775,1141,178.0,158.64,157.0536
7501043111706,1141,309.0,220.11,217.90890000000002
7501142911306,1141,468.942,250.0,247.5
7501318646360,1141,286.8,180.0,178.2
7501318649071,1141,276.0,195.0,193.05
7501122961246,1141,309.969,203.33,201.29670000000002
7501123016808,1141,269.0,213.69,211.5531
7501125152863,1141,657.0,655.42,648.8657999999999
7501123011209,1141,615.624,538.59,533.2041
7501300409911,1141,508.2,229.2,226.908
7501298205038,1141,743.5835,309.0,305.91
7501033954412,1141,904.365,450.0,445.5
7501033957505,1141,476.025,212.66,210.5334
7501287627957,1141,410.0,280.0,277.2
7501298214108,1141,276.0,195.39,193.43609999999998
7501300408556,1141,549.6,329.11,325.8189
7501299300763,1141,204.6,163.59,161.9541
7501123012923,1141,436.0,218.02,215.8398
7501298234601,1141,414.1445,189.0,187.10999999999999
7501298234809,1141,161.448,97.0,96.03
7501298234908,1141,220.363,128.0,126.72
7501298234700,1141,315.436,174.0,172.26
7501300407047,1141,168.0,109.52,108.42479999999999
7502213145408,1141,1500.0,1451.19,1436.6781
7501123014101,1141,303.672,163.13,161.49869999999999
75016951,1141,145.2,106.8,105.732
7501101633348,1141,257.4,169.77,168.0723
5000456076692,1141,1128.0,500.0,495.0
7501298222424,1141,677.0,609.07,602.9793000000001
7501298244808,1141,533.0,290.0,287.1
7501082208764,1141,850.0,579.19,573.3981
7501326003186,1141,1500.0,899.0,890.01
7501326004947,1141,1229.0,790.72,782.8128
7891317027513,1141,602.598,397.13,393.1587
7502224227070,1141,9500.0,9236.72,9144.352799999999
7503003746126,1141,1273.8,1200.0,1188.0
7501299301678,1141,259.0,241.582,239.16618
7501299306840,1141,226.2,177.41,175.6359
7501303449501,1141,339.9,175.0,173.25
7501298269009,1141,499.0,181.41,179.5959
7501328979564,1141,861.0,453.9,449.361
7501098621175,1141,306.0,270.88,268.1712
7501122967019,1141,384.516,244.25,241.8075
7501037925579,1141,1431.0505,300.0,297.0
7501583300325,1141,670.3895,300.0,297.0
7891317019815,1141,526.638,332.31,328.9869
7501318608788,1141,1685.0,650.0,643.5
7501287621009,1141,971.1,617.66,611.4834
7501043100410,1141,161.1,149.04,147.5496
7501070613549,1141,137.7,115.0,113.85
7501165007819,1141,1253.7,500.0,495.0
7501122961017,1141,149.68259999999998,107.8,106.722
7501064550775,1141,160.2,158.64,157.0536
7501043111706,1141,278.1,220.11,217.90890000000002
7501142911306,1141,422.0478,250.0,247.5
7501318646360,1141,258.12,180.0,178.2
7501318649071,1141,248.4,195.0,193.05
7501122961246,1141,278.9721,203.33,201.29670000000002
7501123016808,1141,242.1,213.69,211.5531
7501123011209,1141,554.0616,538.59,533.2041
7501300409911,1141,457.38,229.2,226.908
7501298205038,1141,669.22515,309.0,305.91
7501033954412,1141,813.9285,450.0,445.5
7501033957505,1141,428.42249999999996,212.66,210.5334
7501287627957,1141,369.0,280.0,277.2
7501298214108,1141,248.4,195.39,193.43609999999998
