Unnamed: 0,super_catalog_id,vendor_id,max_price,precio_minimo_orders,min_price
43116,7501123019700,1373,161.0184,149.4,146.42694
43117,7501123019717,1373,463.818,273.13,267.69471300000004
43118,7501314704057,1373,421.5532,359.43,352.27734300000003
43119,7501385450129,1373,119.01978,120.222,73.929636
43120,7501123018024,1373,417.7352,310.88,304.693488
43121,7501123017805,1373,183.1444,156.62,153.503262
43122,7501123018208,1373,145.0932,111.54,109.320354
43123,7501871720552,1373,1180.3048,875.11,857.6953110000001
43124,7501871720545,1373,1210.5728,937.2,918.54972
43125,7891317019815,1373,453.9556,332.31,325.697031
43126,7501287631206,1373,645.8216,441.47,432.6847470000001
43127,7501001116187,1373,133.308,97.9,95.95179
43128,7501001246730,1373,310.178,21.43,21.003542999999997
43129,7590002012468,1373,108.2656,53.32,52.258932
43130,7501122969310,1373,482.218,373.56,366.12615600000004
43131,75004989,1373,135.286,103.8,101.73438
43132,354312225140,1373,28.7592,22.13,21.689612999999998
43133,354312225133,1373,43.884,33.23,32.56872299999999
43134,7501125155758,1373,196.5672,110.0,107.811
43135,7501125152979,1373,186.806,133.05,130.402305
43136,7501314706228,1373,337.088,263.25,258.011325
43137,650240016813,1373,111.872,95.67,93.76616700000001
43138,650240001635,1373,365.6816,215.4,211.11354
43139,7501318685499,1373,1943.2332,900.0,882.09
43140,7501318608191,1373,1665.2644,900.0,882.09
43141,7501318614376,1373,1210.2324,1150.0,1127.115
43142,650240052545,1373,36.229600000000005,23.94,23.463594
43143,650240017094,1373,55.9912,36.91,36.175490999999994
43144,7501303457513,1373,487.3056,320.0,313.632
43145,7703331157506,1373,483.1655999999999,320.0,313.632
43146,7501471890037,1373,546.8204000000001,424.94,416.483694
43147,7501046482490,1373,637.3719,643.81,471.138624
44210,4015630981977,1326,87519.83,316.77,310.466277
44212,7502224241977,1358,28.884468,25.99,25.472799
44213,7501281200101,1358,9.348328,8.55,8.379855000000001
44214,7502001161559,1358,40.958528,38.825,38.0523825
44215,7502001164468,1358,45.622328,38.21,37.449621
44216,7503004908875,1358,45.23886,38.04,37.283004
44217,759684031205,1358,14.571784,12.7,12.44727
44218,759684031052,1358,10.229268,6.74,6.605874
44220,7503017500011,1358,6.3738600000000005,6.05,5.929605
44221,759684031250,1358,16.167839999999998,11.96,11.721996
44222,7502216800984,1358,53.074044,32.38,31.735638000000005
44223,7502003380033,1358,19.214856,15.03,14.730903
44224,7502003380149,1358,30.190332,23.49,23.022548999999998
44225,7501075710250,1358,5.8971160000000005,5.27,5.165127
44226,197886000085,1358,83.295468,75.42,73.91914200000001
44227,8907730000039,1358,83.295468,72.9,71.44929
44228,75017125,1358,8.757579999999999,7.61,7.4585609999999996
44229,7502226290850,1358,8.757579999999999,6.86,6.723486
44230,7503004908684,1358,8.757579999999999,8.78,8.605278
44231,7501384504908,1358,21.391296,12.75,12.496275
44232,7502216798373,1358,14.747972,12.87,12.613887
44233,714908100433,1358,87.21306000000001,70.74,69.33227399999998
44234,714908101065,1358,58.017672,47.37,46.427336999999994
44236,7502001165489,1358,19.878152,17.68,17.328167999999998
44237,7502259890157,1358,29.319756,23.85,23.375384999999998
44238,7501537100612,1358,35.424152,17.22,16.877322
44239,7501842900099,1358,14.934524,13.23,12.966723
44240,7501842900105,1358,19.007576,16.47,16.142246999999998
44241,7501842952890,1358,22.406968000000003,20.0,19.602
44242,7502209810044,1358,23.00808,19.49,19.102149
44243,7502216791299,1358,9.151412,8.57,8.399457000000002
44244,7502208894540,1358,17.826079999999997,14.8,14.505479999999999
44245,7502208894496,1358,20.15798,17.0,16.6617
44246,7502211780359,1358,20.147616000000003,17.25,16.906725
44247,759684315107,1358,8.498479999999999,6.79,6.654879
44248,759684315152,1358,13.804848,11.09,10.869309000000001
44249,759684315206,1358,15.421632,14.35,14.064435
44250,759684315053,1358,6.508592,4.69,4.5966689999999994
44251,7501048335138,1358,6.757327999999999,5.92,5.802192
44252,7501048335305,1358,15.546,14.26,13.976226
44253,7501048333301,1358,43.06242,41.33,40.507532999999995
44254,7502009744358,1358,21.360204,18.92,18.543491999999997
44255,7502227424407,1358,10.716376,8.87,8.693487
44256,7502227425022,1358,15.473452,12.68,12.427668
44257,7502227426715,1358,25.536896,21.55,21.121154999999998
44258,7506353200560,1358,19.028304,18.19,17.828019
44259,7501098611329,1358,385.6842,389.58,49.97821356
44260,7503002772508,1358,50.483044,44.56,43.673256
44261,7502227875872,1358,127.000456,112.72,110.476872
44262,7502009745980,1358,13.089732,11.36,11.133936
44263,7502001163553,1358,19.3149,19.51,14.395285079999999
44264,7501349012004,1358,20.240892,17.49,17.141948999999997
44265,7501349011007,1358,21.163288,17.27,16.926327
44266,7501349012011,1358,29.972688,21.95,21.513195
44267,7503003738961,1358,26.314196,22.36,21.915035999999997
44268,7502227874424,1358,21.494936,17.39,17.043939
44269,7503001007090,1358,20.738364,18.02,17.661402
44270,7501349020603,1358,11.7711,11.89,7.42850064
44271,7501349020740,1358,7.503536,6.72,6.586272
44272,7501349021440,1358,14.582148,12.69,12.437469
44273,7501349021488,1358,26.252012,23.31,22.846131
44274,7501125105135,1358,19.007576,18.68,18.308268
44275,7502268545635,1358,19.8,20.0,18.81750024
44276,7502216793231,1358,6.228764,4.94,4.841694
44277,7502216793675,1358,11.545496,9.41,9.222741
44278,7502216793378,1358,30.553072,24.87,24.375087
44279,7501349029774,1358,24.9579,25.21,22.68565596
44280,7501349029408,1358,25.7598,26.02,20.56176144
44281,7501349021570,1358,17.898628,15.36,15.054336000000001
44282,7501385490521,1358,25.143064000000003,20.05,19.651004999999998
44283,7501349021839,1358,24.593772,21.08,20.660508
44284,7501349026230,1358,51.291436,42.77,41.918877
44285,7502001165588,1358,21.86804,21.33,20.905533000000002
44286,7501349022881,1358,26.189828,22.75,22.297275
44287,7501349021594,1358,25.671628,22.62,22.169862
44288,7501349022874,1358,22.894076,19.43,19.043343
44289,780083140922,1358,72.485816,59.5,58.31595
44290,780083140939,1358,67.85310799999999,56.9,55.76769
44291,780083148577,1358,16.976232,14.91,14.613290999999998
44292,780083148584,1358,23.173904,22.42,21.973841999999998
44293,7502227875520,1358,17.991903999999998,15.19,14.887719
44294,7502216792289,1358,36.595284,31.89,31.255389
44295,7501075721096,1358,33.382444,30.27,29.667627000000003
44296,7501075721072,1358,51.0427,45.31,44.408331000000004
44297,7502009744082,1358,44.389012,38.59,37.822058999999996
44298,7502259892250,1358,44.119548,37.76,37.008576
44299,7502227871508,1358,10.965112,10.29,10.085228999999998
44300,7501048780488,1358,13.172644000000002,12.07,11.829806999999999
44301,7501277078318,1358,34.864496,27.36,26.815536
44302,7501277078295,1358,131.125328,111.87,109.643787
