"point_of_sale_id","address"
97,"Av. Agustín M. García 8450, Benavidez, Provincia de Buenos Aires, Argentina"
98,"Doctor Gabriel Ardoino 640, Ramos Mejía, Provincia de Buenos Aires, Argentina"
99,"LTO, Avenida José Equiza 4171, González Catán, Provincia de Buenos Aires, Argentina"
100,"Av. Rivadavia 13236, Ramos Mejía, Provincia de Buenos Aires, Argentina"
101,"Simón Pérez 4780, González Catán, Provincia de Buenos Aires, Argentina"
102,"Rivadavia 3158, Saladillo, Provincia de Buenos Aires, Argentina"
103,"Paraná 6400, Villa Adelina, Provincia de Buenos Aires, Argentina"
104,"Av. Dr. Ricardo Balbín 4955, Buenos Aires, Argentina"
105,"Av. Dr. Ricardo Balbín 4955, Buenos Aires, Argentina"
106,"APV, Icalma 7648, González Catán, Provincia de Buenos Aires, Argentina"
107,"Avenida Presidente Juan Domingo Perón 23870, San Antonio de Padua, Provincia de Buenos Aires, Argentina"
108,"Don Luis Posamay 894, González Catán, Provincia de Buenos Aires, Argentina"
109,"Av. de Mayo 1212, Ramos Mejía, Cdad. Autónoma de Buenos Aires, Argentina"
110,"Calle 27 548, Mercedes, Provincia de Buenos Aires, Argentina"
111,"Avenida Coronel Escalada 1200, General Pacheco, Provincia de Buenos Aires, Argentina"
112,"Santa Bárbara, Corredor Bancalari - Benavidez 3901, Los Troncos del Talar, Provincia de Buenos Aires, Argentina"
113,"Crisólogo Larralde 3195, Buenos Aires, Argentina"
114,"Olavarría 443, La Boca, CABA, Argentina"
115,"Fray Justo Santa María de Oro 3018, Palermo, FOV, Buenos Aires, Argentina"
116,"Sarmiento 695, General Rodríguez, Provincia de Buenos Aires, Argentina"
117,"Avenida la Aviación 991, Longchamps, Provincia de Buenos Aires, Argentina"
118,"Nicolás Avellaneda 74, Ezeiza, Provincia de Buenos Aires, Argentina"
119,"Avenida Sarmiento 423, San Vicente, Provincia de Buenos Aires, Argentina"
120,"Las Hortensias 305, Tristán Suárez, Provincia de Buenos Aires, Argentina"
